Fast Name,Charged Name,Fast Type,Fast Power,Fast Energy,Fast Power Per Energy,Charged Type,Charged Power,Charged Energy,Charged Power Per EnergyCharged Rate
Thunder Shock,Crush Claw,Electric,5,8,0.625,Normal,0,0,
Waterfall,Leech Life,Water,16,8,2.0,Bug,0,0,
Ember,Struggle,Fire,10,10,1.0,Normal,35,0,
Wing Attack,Struggle,Flying,8,9,0.8888888888888888,Normal,35,0,
Fairy Wind,Struggle,Fairy,9,13,0.6923076923076923,Normal,35,0,
Waterfall,Crush Claw,Water,16,8,2.0,Normal,0,0,
Feint Attack,Crush Claw,Dark,10,9,1.1111111111111112,Normal,0,0,
Metal Claw,Struggle,Steel,8,7,1.1428571428571428,Normal,35,0,
Yawn,Struggle,Normal,0,15,0.0,Normal,35,0,
Dragon Breath,Crush Claw,Dragon,6,4,1.5,Normal,0,0,
Confusion,Leech Life,Psychic,20,15,1.3333333333333333,Bug,0,0,
Rock Throw,Crush Claw,Rock,12,7,1.7142857142857142,Normal,0,0,
Ice Fang,Struggle,Ice,12,20,0.6,Normal,35,0,
Hex,Leech Life,Ghost,10,16,0.625,Bug,0,0,
Fury Cutter,Crush Claw,Bug,3,6,0.5,Normal,0,0,
Smack Down,Crush Claw,Rock,16,8,2.0,Normal,0,0,
Bubble,Crush Claw,Water,12,14,0.8571428571428571,Normal,0,0,
Charge Beam,Leech Life,Electric,8,15,0.5333333333333333,Bug,0,0,
Volt Switch,Struggle,Electric,14,21,0.6666666666666666,Normal,35,0,
Fury Cutter,Leech Life,Bug,3,6,0.5,Bug,0,0,
Extrasensory,Leech Life,Psychic,12,12,1.0,Bug,0,0,
Hex,Crush Claw,Ghost,10,16,0.625,Normal,0,0,
Dragon Breath,Leech Life,Dragon,6,4,1.5,Bug,0,0,
Hidden Power,Leech Life,Normal,15,15,1.0,Bug,0,0,
Confusion,Struggle,Psychic,20,15,1.3333333333333333,Normal,35,0,
Air Slash,Crush Claw,Flying,14,10,1.4,Normal,0,0,
Infestation,Crush Claw,Bug,10,14,0.7142857142857143,Normal,0,0,
Shadow Claw,Struggle,Ghost,9,6,1.5,Normal,35,0,
Struggle Bug,Crush Claw,Bug,15,15,1.0,Normal,0,0,
Zen Headbutt,Crush Claw,Psychic,12,10,1.2,Normal,0,0,
Thunder Fang,Crush Claw,Electric,12,16,0.75,Normal,0,0,
Acid,Leech Life,Poison,9,8,1.125,Bug,0,0,
Hidden Power,Struggle,Normal,15,15,1.0,Normal,35,0,
Take Down,Crush Claw,Normal,8,10,0.8,Normal,0,0,
Fire Fang,Crush Claw,Fire,12,8,1.5,Normal,0,0,
Infestation,Leech Life,Bug,10,14,0.7142857142857143,Bug,0,0,
Bullet Punch,Struggle,Steel,9,10,0.9,Normal,35,0,
Fire Fang,Leech Life,Fire,12,8,1.5,Bug,0,0,
Thunder Fang,Leech Life,Electric,12,16,0.75,Bug,0,0,
Ice Shard,Crush Claw,Ice,12,12,1.0,Normal,0,0,
Razor Leaf,Leech Life,Grass,13,7,1.8571428571428572,Bug,0,0,
Thunder Shock,Leech Life,Electric,5,8,0.625,Bug,0,0,
Gust,Struggle,Flying,25,20,1.25,Normal,35,0,
Bug Bite,Leech Life,Bug,5,6,0.8333333333333334,Bug,0,0,
Acid,Crush Claw,Poison,9,8,1.125,Normal,0,0,
Razor Leaf,Crush Claw,Grass,13,7,1.8571428571428572,Normal,0,0,
Magical Leaf,Struggle,Grass,16,16,1.0,Normal,35,0,
Magical Leaf,Leech Life,Grass,16,16,1.0,Bug,0,0,
Steel Wing,Leech Life,Steel,11,6,1.8333333333333333,Bug,0,0,
Water Gun,Struggle,Water,5,5,1.0,Normal,35,0,
Ice Shard,Leech Life,Ice,12,12,1.0,Bug,0,0,
Zen Headbutt,Leech Life,Psychic,12,10,1.2,Bug,0,0,
Quick Attack,Crush Claw,Normal,8,10,0.8,Normal,0,0,
Smack Down,Struggle,Rock,16,8,2.0,Normal,35,0,
Fairy Wind,Crush Claw,Fairy,9,13,0.6923076923076923,Normal,0,0,
Mud Shot,Crush Claw,Ground,5,7,0.7142857142857143,Normal,0,0,
Sucker Punch,Crush Claw,Dark,7,8,0.875,Normal,0,0,
Dragon Tail,Crush Claw,Dragon,15,9,1.6666666666666667,Normal,0,0,
Charm,Struggle,Fairy,20,11,1.8181818181818181,Normal,35,0,
Air Slash,Leech Life,Flying,14,10,1.4,Bug,0,0,
Acid,Struggle,Poison,9,8,1.125,Normal,35,0,
Hex,Struggle,Ghost,10,16,0.625,Normal,35,0,
Steel Wing,Crush Claw,Steel,11,6,1.8333333333333333,Normal,0,0,
Leafage,Leech Life,Grass,9,6,1.5,Bug,0,0,
Splash,Crush Claw,Water,0,20,0.0,Normal,0,0,
Gust,Leech Life,Flying,25,20,1.25,Bug,0,0,
Leafage,Crush Claw,Grass,9,6,1.5,Normal,0,0,
Scratch,Leech Life,Normal,6,4,1.5,Bug,0,0,
Bug Bite,Crush Claw,Bug,5,6,0.8333333333333334,Normal,0,0,
Take Down,Leech Life,Normal,8,10,0.8,Bug,0,0,
Mud Shot,Leech Life,Ground,5,7,0.7142857142857143,Bug,0,0,
Gust,Crush Claw,Flying,25,20,1.25,Normal,0,0,
Low Kick,Crush Claw,Fighting,6,6,1.0,Normal,0,0,
Low Kick,Leech Life,Fighting,6,6,1.0,Bug,0,0,
Fire Spin,Struggle,Fire,14,10,1.4,Normal,35,0,
Fire Fang,Struggle,Fire,12,8,1.5,Normal,35,0,
Karate Chop,Leech Life,Fighting,8,10,0.8,Bug,0,0,
Fairy Wind,Leech Life,Fairy,9,13,0.6923076923076923,Bug,0,0,
Extrasensory,Struggle,Psychic,12,12,1.0,Normal,35,0,
Leafage,Struggle,Grass,9,6,1.5,Normal,35,0,
Quick Attack,Leech Life,Normal,8,10,0.8,Bug,0,0,
Karate Chop,Crush Claw,Fighting,8,10,0.8,Normal,0,0,
Ice Shard,Struggle,Ice,12,12,1.0,Normal,35,0,
Charge Beam,Struggle,Electric,8,15,0.5333333333333333,Normal,35,0,
Pound,Leech Life,Normal,7,6,1.1666666666666667,Bug,0,0,
Lick,Leech Life,Ghost,5,6,0.8333333333333334,Bug,0,0,
Bullet Seed,Crush Claw,Grass,8,14,0.5714285714285714,Normal,0,0,
Vine Whip,Leech Life,Grass,7,6,1.1666666666666667,Bug,0,0,
Iron Tail,Leech Life,Steel,15,7,2.142857142857143,Bug,0,0,
Lock On,Leech Life,Normal,1,6,0.16666666666666666,Bug,0,0,
Present,Struggle,Normal,5,20,0.25,Normal,35,0,
Geomancy,Leech Life,Fairy,20,14,1.4285714285714286,Bug,0,0,
Lick,Crush Claw,Ghost,5,6,0.8333333333333334,Normal,0,0,
Frost Breath,Leech Life,Ice,10,8,1.25,Bug,0,0,
Rollout,Struggle,Rock,14,18,0.7777777777777778,Normal,35,0,
Vine Whip,Crush Claw,Grass,7,6,1.1666666666666667,Normal,0,0,
Counter,Crush Claw,Fighting,12,8,1.5,Normal,0,0,
Geomancy,Crush Claw,Fairy,20,14,1.4285714285714286,Normal,0,0,
Bug Bite,Struggle,Bug,5,6,0.8333333333333334,Normal,35,0,
Water Shuriken,Struggle,Water,10,15,0.6666666666666666,Normal,35,0,
Frost Breath,Crush Claw,Ice,10,8,1.25,Normal,0,0,
Astonish,Crush Claw,Ghost,8,14,0.5714285714285714,Normal,0,0,
Scratch,Struggle,Normal,6,4,1.5,Normal,35,0,
Double Kick,Struggle,Fighting,10,13,0.7692307692307693,Normal,35,0,
Volt Switch,Leech Life,Electric,14,21,0.6666666666666666,Bug,0,0,
Rock Smash,Leech Life,Fighting,15,10,1.5,Bug,0,0,
Incinerate,Crush Claw,Fire,29,20,1.45,Normal,0,0,
Metal Claw,Leech Life,Steel,8,7,1.1428571428571428,Bug,0,0,
Astonish,Struggle,Ghost,8,14,0.5714285714285714,Normal,35,0,
Yawn,Crush Claw,Normal,0,15,0.0,Normal,0,0,
Lock On,Crush Claw,Normal,1,6,0.16666666666666666,Normal,0,0,
Bubble,Struggle,Water,12,14,0.8571428571428571,Normal,35,0,
Ice Fang,Crush Claw,Ice,12,20,0.6,Normal,0,0,
Cut,Struggle,Normal,5,5,1.0,Normal,35,0,
Bite,Leech Life,Dark,6,4,1.5,Bug,0,0,
Peck,Struggle,Flying,10,10,1.0,Normal,35,0,
Fire Spin,Leech Life,Fire,14,10,1.4,Bug,0,0,
Spark,Crush Claw,Electric,6,9,0.6666666666666666,Normal,0,0,
Bite,Crush Claw,Dark,6,4,1.5,Normal,0,0,
Steel Wing,Struggle,Steel,11,6,1.8333333333333333,Normal,35,0,
Spark,Leech Life,Electric,6,9,0.6666666666666666,Bug,0,0,
Pound,Struggle,Normal,7,6,1.1666666666666667,Normal,35,0,
Psycho Cut,Struggle,Psychic,5,8,0.625,Normal,35,0,
Thunder Shock,Struggle,Electric,5,8,0.625,Normal,35,0,
Poison Sting,Crush Claw,Poison,5,7,0.7142857142857143,Normal,0,0,
Lock On,Struggle,Normal,1,6,0.16666666666666666,Normal,35,0,
Hidden Power,Crush Claw,Normal,15,15,1.0,Normal,0,0,
Fire Spin,Crush Claw,Fire,14,10,1.4,Normal,0,0,
Incinerate,Struggle,Fire,29,20,1.45,Normal,35,0,
Ice Fang,Leech Life,Ice,12,20,0.6,Bug,0,0,
Iron Tail,Struggle,Steel,15,7,2.142857142857143,Normal,35,0,
Tackle,Struggle,Normal,5,5,1.0,Normal,35,0,
Charge Beam,Crush Claw,Electric,8,15,0.5333333333333333,Normal,0,0,
Iron Tail,Crush Claw,Steel,15,7,2.142857142857143,Normal,0,0,
Double Kick,Leech Life,Fighting,10,13,0.7692307692307693,Bug,0,0,
Poison Sting,Leech Life,Poison,5,7,0.7142857142857143,Bug,0,0,
Double Kick,Crush Claw,Fighting,10,13,0.7692307692307693,Normal,0,0,
Bullet Seed,Leech Life,Grass,8,14,0.5714285714285714,Bug,0,0,
Dragon Tail,Struggle,Dragon,15,9,1.6666666666666667,Normal,35,0,
Spark,Struggle,Electric,6,9,0.6666666666666666,Normal,35,0,
Dragon Breath,Struggle,Dragon,6,4,1.5,Normal,35,0,
Rock Smash,Struggle,Fighting,15,10,1.5,Normal,35,0,
Peck,Crush Claw,Flying,10,10,1.0,Normal,0,0,
Poison Sting,Struggle,Poison,5,7,0.7142857142857143,Normal,35,0,
Vine Whip,Struggle,Grass,7,6,1.1666666666666667,Normal,35,0,
Frost Breath,Struggle,Ice,10,8,1.25,Normal,35,0,
Fury Cutter,Struggle,Bug,3,6,0.5,Normal,35,0,
Powder Snow,Struggle,Ice,6,15,0.4,Normal,35,0,
Counter,Struggle,Fighting,12,8,1.5,Normal,35,0,
Water Gun,Leech Life,Water,5,5,1.0,Bug,0,0,
Incinerate,Leech Life,Fire,29,20,1.45,Bug,0,0,
Yawn,Leech Life,Normal,0,15,0.0,Bug,0,0,
Present,Leech Life,Normal,5,20,0.25,Bug,0,0,
Rollout,Leech Life,Rock,14,18,0.7777777777777778,Bug,0,0,
Snarl,Leech Life,Dark,12,14,0.8571428571428571,Bug,0,0,
Splash,Struggle,Water,0,20,0.0,Normal,35,0,
Rollout,Crush Claw,Rock,14,18,0.7777777777777778,Normal,0,0,
Mud Slap,Struggle,Ground,18,12,1.5,Normal,35,0,
Snarl,Struggle,Dark,12,14,0.8571428571428571,Normal,35,0,
Air Slash,Struggle,Flying,14,10,1.4,Normal,35,0,
Astonish,Leech Life,Ghost,8,14,0.5714285714285714,Bug,0,0,
Charm,Crush Claw,Fairy,20,11,1.8181818181818181,Normal,0,0,
Confusion,Crush Claw,Psychic,20,15,1.3333333333333333,Normal,0,0,
Poison Jab,Struggle,Poison,10,7,1.4285714285714286,Normal,35,0,
Water Shuriken,Leech Life,Water,10,15,0.6666666666666666,Bug,0,0,
Charm,Leech Life,Fairy,20,11,1.8181818181818181,Bug,0,0,
Geomancy,Struggle,Fairy,20,14,1.4285714285714286,Normal,35,0,
Mud Shot,Struggle,Ground,5,7,0.7142857142857143,Normal,35,0,
Water Shuriken,Crush Claw,Water,10,15,0.6666666666666666,Normal,0,0,
Bite,Struggle,Dark,6,4,1.5,Normal,35,0,
Metal Claw,Crush Claw,Steel,8,7,1.1428571428571428,Normal,0,0,
Pound,Crush Claw,Normal,7,6,1.1666666666666667,Normal,0,0,
Karate Chop,Struggle,Fighting,8,10,0.8,Normal,35,0,
Mud Slap,Crush Claw,Ground,18,12,1.5,Normal,0,0,
Feint Attack,Struggle,Dark,10,9,1.1111111111111112,Normal,35,0,
Counter,Leech Life,Fighting,12,8,1.5,Bug,0,0,
Cut,Crush Claw,Normal,5,5,1.0,Normal,0,0,
Dragon Tail,Leech Life,Dragon,15,9,1.6666666666666667,Bug,0,0,
Lick,Struggle,Ghost,5,6,0.8333333333333334,Normal,35,0,
Rock Throw,Leech Life,Rock,12,7,1.7142857142857142,Bug,0,0,
Snarl,Crush Claw,Dark,12,14,0.8571428571428571,Normal,0,0,
Ember,Crush Claw,Fire,10,10,1.0,Normal,0,0,
Powder Snow,Crush Claw,Ice,6,15,0.4,Normal,0,0,
Bullet Punch,Leech Life,Steel,9,10,0.9,Bug,0,0,
Ember,Leech Life,Fire,10,10,1.0,Bug,0,0,
Zen Headbutt,Struggle,Psychic,12,10,1.2,Normal,35,0,
Struggle Bug,Struggle,Bug,15,15,1.0,Normal,35,0,
Mud Slap,Leech Life,Ground,18,12,1.5,Bug,0,0,
Peck,Leech Life,Flying,10,10,1.0,Bug,0,0,
Present,Crush Claw,Normal,5,20,0.25,Normal,0,0,
Smack Down,Leech Life,Rock,16,8,2.0,Bug,0,0,
Mud Shot,Psywave,Ground,5,7,0.7142857142857143,Psychic,4,7,
Quick Attack,Metal Sound,Normal,8,10,0.8,Steel,6,9,
Mud Shot,Sand Attack,Ground,5,7,0.7142857142857143,Ground,4,7,
Poison Sting,Psywave,Poison,5,7,0.7142857142857143,Psychic,4,7,
Poison Jab,Water Gun Blastoise,Poison,10,7,1.4285714285714286,Water,10,6,
Pound,Water Gun Blastoise,Normal,7,6,1.1666666666666667,Water,10,6,
Thunder Shock,Water Gun Blastoise,Electric,5,8,0.625,Water,10,6,
Astonish,Psywave,Ghost,8,14,0.5714285714285714,Psychic,4,7,
Water Shuriken,Water Gun Blastoise,Water,10,15,0.6666666666666666,Water,10,6,
Psycho Cut,Psywave,Psychic,5,8,0.625,Psychic,4,7,
Fire Spin,Psywave,Fire,14,10,1.4,Psychic,4,7,
Quick Attack,Psywave,Normal,8,10,0.8,Psychic,4,7,
Rock Smash,Sand Attack,Fighting,15,10,1.5,Ground,4,7,
Astonish,Metal Sound,Ghost,8,14,0.5714285714285714,Steel,6,9,
Fire Spin,Metal Sound,Fire,14,10,1.4,Steel,6,9,
Rock Smash,Metal Sound,Fighting,15,10,1.5,Steel,6,9,
Rock Smash,Water Gun Blastoise,Fighting,15,10,1.5,Water,10,6,
Psycho Cut,Sand Attack,Psychic,5,8,0.625,Ground,4,7,
Smack Down,Sand Attack,Rock,16,8,2.0,Ground,4,7,
Zen Headbutt,Water Gun Blastoise,Psychic,12,10,1.2,Water,10,6,
Fire Spin,Sand Attack,Fire,14,10,1.4,Ground,4,7,
Astonish,Sand Attack,Ghost,8,14,0.5714285714285714,Ground,4,7,
Rock Smash,Psywave,Fighting,15,10,1.5,Psychic,4,7,
Waterfall,Water Gun Blastoise,Water,16,8,2.0,Water,10,6,
Struggle Bug,Psywave,Bug,15,15,1.0,Psychic,4,7,
Zen Headbutt,Sand Attack,Psychic,12,10,1.2,Ground,4,7,
Zen Headbutt,Metal Sound,Psychic,12,10,1.2,Steel,6,9,
Zen Headbutt,Psywave,Psychic,12,10,1.2,Psychic,4,7,
Poison Sting,Water Gun Blastoise,Poison,5,7,0.7142857142857143,Water,10,6,
Razor Leaf,Sand Attack,Grass,13,7,1.8571428571428572,Ground,4,7,
Razor Leaf,Psywave,Grass,13,7,1.8571428571428572,Psychic,4,7,
Mud Shot,Water Gun Blastoise,Ground,5,7,0.7142857142857143,Water,10,6,
Magical Leaf,Sand Attack,Grass,16,16,1.0,Ground,4,7,
Lick,Water Gun Blastoise,Ghost,5,6,0.8333333333333334,Water,10,6,
Magical Leaf,Metal Sound,Grass,16,16,1.0,Steel,6,9,
Magical Leaf,Psywave,Grass,16,16,1.0,Psychic,4,7,
Feint Attack,Water Gun Blastoise,Dark,10,9,1.1111111111111112,Water,10,6,
Gust,Sand Attack,Flying,25,20,1.25,Ground,4,7,
Gust,Metal Sound,Flying,25,20,1.25,Steel,6,9,
Gust,Psywave,Flying,25,20,1.25,Psychic,4,7,
Snarl,Water Gun Blastoise,Dark,12,14,0.8571428571428571,Water,10,6,
Spark,Sand Attack,Electric,6,9,0.6666666666666666,Ground,4,7,
Waterfall,Psywave,Water,16,8,2.0,Psychic,4,7,
Spark,Metal Sound,Electric,6,9,0.6666666666666666,Steel,6,9,
Powder Snow,Sand Attack,Ice,6,15,0.4,Ground,4,7,
Powder Snow,Metal Sound,Ice,6,15,0.4,Steel,6,9,
Powder Snow,Psywave,Ice,6,15,0.4,Psychic,4,7,
Charm,Sand Attack,Fairy,20,11,1.8181818181818181,Ground,4,7,
Charm,Metal Sound,Fairy,20,11,1.8181818181818181,Steel,6,9,
Poison Jab,Sand Attack,Poison,10,7,1.4285714285714286,Ground,4,7,
Charm,Psywave,Fairy,20,11,1.8181818181818181,Psychic,4,7,
Bullet Seed,Psywave,Grass,8,14,0.5714285714285714,Psychic,4,7,
Incinerate,Water Gun Blastoise,Fire,29,20,1.45,Water,10,6,
Steel Wing,Water Gun Blastoise,Steel,11,6,1.8333333333333333,Water,10,6,
Lock On,Water Gun Blastoise,Normal,1,6,0.16666666666666666,Water,10,6,
Spark,Water Gun Blastoise,Electric,6,9,0.6666666666666666,Water,10,6,
Astonish,Water Gun Blastoise,Ghost,8,14,0.5714285714285714,Water,10,6,
Rollout,Water Gun Blastoise,Rock,14,18,0.7777777777777778,Water,10,6,
Waterfall,Sand Attack,Water,16,8,2.0,Ground,4,7,
Spark,Psywave,Electric,6,9,0.6666666666666666,Psychic,4,7,
Counter,Water Gun Blastoise,Fighting,12,8,1.5,Water,10,6,
Quick Attack,Sand Attack,Normal,8,10,0.8,Ground,4,7,
Infestation,Water Gun Blastoise,Bug,10,14,0.7142857142857143,Water,10,6,
Charge Beam,Psywave,Electric,8,15,0.5333333333333333,Psychic,4,7,
Incinerate,Metal Sound,Fire,29,20,1.45,Steel,6,9,
Incinerate,Sand Attack,Fire,29,20,1.45,Ground,4,7,
Snarl,Psywave,Dark,12,14,0.8571428571428571,Psychic,4,7,
Snarl,Metal Sound,Dark,12,14,0.8571428571428571,Steel,6,9,
Snarl,Sand Attack,Dark,12,14,0.8571428571428571,Ground,4,7,
Shadow Claw,Water Gun Blastoise,Ghost,9,6,1.5,Water,10,6,
Peck,Sand Attack,Flying,10,10,1.0,Ground,4,7,
Peck,Metal Sound,Flying,10,10,1.0,Steel,6,9,
Peck,Psywave,Flying,10,10,1.0,Psychic,4,7,
Gust,Water Gun Blastoise,Flying,25,20,1.25,Water,10,6,
Struggle Bug,Sand Attack,Bug,15,15,1.0,Ground,4,7,
Take Down,Sand Attack,Normal,8,10,0.8,Ground,4,7,
Struggle Bug,Metal Sound,Bug,15,15,1.0,Steel,6,9,
Take Down,Metal Sound,Normal,8,10,0.8,Steel,6,9,
Take Down,Psywave,Normal,8,10,0.8,Psychic,4,7,
Incinerate,Psywave,Fire,29,20,1.45,Psychic,4,7,
Thunder Fang,Water Gun Blastoise,Electric,12,16,0.75,Water,10,6,
Rollout,Sand Attack,Rock,14,18,0.7777777777777778,Ground,4,7,
Rollout,Metal Sound,Rock,14,18,0.7777777777777778,Steel,6,9,
Charge Beam,Metal Sound,Electric,8,15,0.5333333333333333,Steel,6,9,
Charge Beam,Sand Attack,Electric,8,15,0.5333333333333333,Ground,4,7,
Bullet Seed,Sand Attack,Grass,8,14,0.5714285714285714,Ground,4,7,
Thunder Shock,Sand Attack,Electric,5,8,0.625,Ground,4,7,
Bullet Seed,Water Gun Blastoise,Grass,8,14,0.5714285714285714,Water,10,6,
Thunder Shock,Psywave,Electric,5,8,0.625,Psychic,4,7,
Low Kick,Water Gun Blastoise,Fighting,6,6,1.0,Water,10,6,
Bullet Seed,Metal Sound,Grass,8,14,0.5714285714285714,Steel,6,9,
Rock Throw,Water Gun Blastoise,Rock,12,7,1.7142857142857142,Water,10,6,
Counter,Psywave,Fighting,12,8,1.5,Psychic,4,7,
Fire Fang,Sand Attack,Fire,12,8,1.5,Ground,4,7,
Counter,Sand Attack,Fighting,12,8,1.5,Ground,4,7,
Yawn,Water Gun Blastoise,Normal,0,15,0.0,Water,10,6,
Fire Fang,Psywave,Fire,12,8,1.5,Psychic,4,7,
Acid,Water Gun Blastoise,Poison,9,8,1.125,Water,10,6,
Rollout,Psywave,Rock,14,18,0.7777777777777778,Psychic,4,7,
Charm,Water Gun Blastoise,Fairy,20,11,1.8181818181818181,Water,10,6,
Poison Sting,Sand Attack,Poison,5,7,0.7142857142857143,Ground,4,7,
Bubble,Sand Attack,Water,12,14,0.8571428571428571,Ground,4,7,
Thunder Fang,Psywave,Electric,12,16,0.75,Psychic,4,7,
Karate Chop,Sand Attack,Fighting,8,10,0.8,Ground,4,7,
Ice Fang,Sand Attack,Ice,12,20,0.6,Ground,4,7,
Ice Fang,Metal Sound,Ice,12,20,0.6,Steel,6,9,
Yawn,Psywave,Normal,0,15,0.0,Psychic,4,7,
Hex,Water Gun Blastoise,Ghost,10,16,0.625,Water,10,6,
Present,Water Gun Blastoise,Normal,5,20,0.25,Water,10,6,
Karate Chop,Metal Sound,Fighting,8,10,0.8,Steel,6,9,
Ice Fang,Psywave,Ice,12,20,0.6,Psychic,4,7,
Yawn,Metal Sound,Normal,0,15,0.0,Steel,6,9,
Yawn,Sand Attack,Normal,0,15,0.0,Ground,4,7,
Double Kick,Water Gun Blastoise,Fighting,10,13,0.7692307692307693,Water,10,6,
Hidden Power,Psywave,Normal,15,15,1.0,Psychic,4,7,
Ice Shard,Psywave,Ice,12,12,1.0,Psychic,4,7,
Ice Shard,Metal Sound,Ice,12,12,1.0,Steel,6,9,
Quick Attack,Water Gun Blastoise,Normal,8,10,0.8,Water,10,6,
Ice Shard,Sand Attack,Ice,12,12,1.0,Ground,4,7,
Frost Breath,Sand Attack,Ice,10,8,1.25,Ground,4,7,
Sucker Punch,Psywave,Dark,7,8,0.875,Psychic,4,7,
Extrasensory,Metal Sound,Psychic,12,12,1.0,Steel,6,9,
Infestation,Psywave,Bug,10,14,0.7142857142857143,Psychic,4,7,
Infestation,Metal Sound,Bug,10,14,0.7142857142857143,Steel,6,9,
Infestation,Sand Attack,Bug,10,14,0.7142857142857143,Ground,4,7,
Fire Fang,Water Gun Blastoise,Fire,12,8,1.5,Water,10,6,
Extrasensory,Psywave,Psychic,12,12,1.0,Psychic,4,7,
Karate Chop,Psywave,Fighting,8,10,0.8,Psychic,4,7,
Leafage,Water Gun Blastoise,Grass,9,6,1.5,Water,10,6,
Present,Metal Sound,Normal,5,20,0.25,Steel,6,9,
Volt Switch,Water Gun Blastoise,Electric,14,21,0.6666666666666666,Water,10,6,
Hidden Power,Water Gun Blastoise,Normal,15,15,1.0,Water,10,6,
Present,Psywave,Normal,5,20,0.25,Psychic,4,7,
Frost Breath,Water Gun Blastoise,Ice,10,8,1.25,Water,10,6,
Frost Breath,Psywave,Ice,10,8,1.25,Psychic,4,7,
Present,Sand Attack,Normal,5,20,0.25,Ground,4,7,
Hidden Power,Metal Sound,Normal,15,15,1.0,Steel,6,9,
Confusion,Water Gun Blastoise,Psychic,20,15,1.3333333333333333,Water,10,6,
Mud Slap,Sand Attack,Ground,18,12,1.5,Ground,4,7,
Dragon Tail,Psywave,Dragon,15,9,1.6666666666666667,Psychic,4,7,
Mud Slap,Water Gun Blastoise,Ground,18,12,1.5,Water,10,6,
Bubble,Water Gun Blastoise,Water,12,14,0.8571428571428571,Water,10,6,
Iron Tail,Sand Attack,Steel,15,7,2.142857142857143,Ground,4,7,
Hex,Sand Attack,Ghost,10,16,0.625,Ground,4,7,
Air Slash,Water Gun Blastoise,Flying,14,10,1.4,Water,10,6,
Vine Whip,Water Gun Blastoise,Grass,7,6,1.1666666666666667,Water,10,6,
Iron Tail,Psywave,Steel,15,7,2.142857142857143,Psychic,4,7,
Dragon Tail,Metal Sound,Dragon,15,9,1.6666666666666667,Steel,6,9,
Dragon Tail,Sand Attack,Dragon,15,9,1.6666666666666667,Ground,4,7,
Geomancy,Water Gun Blastoise,Fairy,20,14,1.4285714285714286,Water,10,6,
Struggle Bug,Water Gun Blastoise,Bug,15,15,1.0,Water,10,6,
Hex,Metal Sound,Ghost,10,16,0.625,Steel,6,9,
Fury Cutter,Water Gun Blastoise,Bug,3,6,0.5,Water,10,6,
Splash,Water Gun Blastoise,Water,0,20,0.0,Water,10,6,
Bullet Punch,Sand Attack,Steel,9,10,0.9,Ground,4,7,
Ember,Water Gun Blastoise,Fire,10,10,1.0,Water,10,6,
Bullet Punch,Metal Sound,Steel,9,10,0.9,Steel,6,9,
Mud Slap,Metal Sound,Ground,18,12,1.5,Steel,6,9,
